,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,namatanai,-3.6667,152.4333,84.7,66,19,7.47,PG,1623644449
344,port hedland,-20.3167,118.5667,84.25,24,75,13.8,AU,1623644450
345,livny,52.4253,37.6069,64.17,86,13,1.28,RU,1623644452
346,chokurdakh,70.6333,147.9167,66.69,32,100,3.33,RU,1623644453
347,lake elsinore,33.6681,-117.3273,79.14,58,16,2.06,US,1623644222
348,bikaner,28.0167,73.3,95.9,44,0,19.42,IN,1623644455
349,ulladulla,-35.35,150.4667,62.87,63,55,4.65,AU,1623644456
350,pisco,-13.7,-76.2167,60.03,82,0,4.61,PE,1623644458
351,helong,42.5397,128.9972,83.39,43,97,5.17,CN,1623644460
352,campos sales,-7.0744,-40.3761,70.09,62,94,7.7,BR,1623644461
353,xining,36.6167,101.7667,67.68,50,5,3.11,CN,1623644462
354,sonqor,34.7837,47.6004,61.61,15,0,3.85,IR,1623644463
355,broken hill,-31.95,141.4333,66.31,30,84,13.51,AU,1623644465
356,chama,47.1821,8.4636,60.04,82,12,0.0,CH,1623644466
357,pop,40.8736,71.1089,82.89,32,5,2.86,UZ,1623644468
358,slave lake,55.2834,-114.769,67.98,45,90,3.44,CA,1623644469
359,kaitangata,-46.2817,169.8464,53.6,90,100,5.35,NZ,1623644471
360,antalaha,-14.9003,50.2788,69.73,92,12,4.14,MG,1623644472
361,coihaique,-45.5752,-72.0662,33.75,75,0,3.44,CL,1623644473
